layer,bits,bit_setting,view,mode,rotation_seed,qjl_seed,prompt_count,token_count,orthogonality_error,rotation_determinant_error_max,train_logit_cosine_similarity,train_logit_mse
0,2.0,2,vector,key_only_block_so8_triality_vector,70217,70271,4,73,0.0044951289892196655,0.0071985349270897725,0.9921875,462.0
0,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,70474,70528,4,73,0.003829479217529297,0.003942404826586587,0.9921875,378.0
0,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,70731,70785,4,73,0.004538059234619141,0.005558850378573954,1.0,398.0
0,2.5,2.5,vector,key_only_block_so8_triality_vector,70267,70321,4,73,0.0044951289892196655,0.0071985349270897725,0.9921875,300.0
0,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,70524,70578,4,73,0.003829479217529297,0.003942404826586587,1.0,312.0
0,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,70781,70835,4,73,0.004538059234619141,0.005558850378573954,0.9921875,292.0
0,3.0,3,vector,key_only_block_so8_triality_vector,70317,70371,4,73,0.004869997501373291,0.0035865642646970564,0.98828125,184.0
0,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,70574,70628,4,73,0.0042417049407958984,0.006680732494163122,0.9921875,161.0
0,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,70831,70885,4,73,0.004652347415685654,0.006432436283196452,1.0,205.0
0,3.5,3.5,vector,key_only_block_so8_triality_vector,70367,70421,4,73,0.004869997501373291,0.0035865642646970564,1.0,119.0
0,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,70624,70678,4,73,0.0042417049407958984,0.006680732494163122,0.9921875,129.0
0,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,70881,70935,4,73,0.004652347415685654,0.006432436283196452,1.0,99.0
0,4.0,4,vector,key_only_block_so8_triality_vector,70417,70471,4,73,0.004707470536231995,0.006427305207942435,1.0,62.5
0,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,70674,70728,4,73,0.004540920257568359,0.006081507226463501,1.0,58.25
0,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,70931,70985,4,73,0.005289118736982346,0.007681875964232865,1.0,59.25
0,8.0,8,vector,key_only_block_so8_triality_vector,70817,70871,4,73,0.0048600174486637115,0.004900561734938469,0.9921875,2.734375
0,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,71074,71128,4,73,0.004767894744873047,0.005657420493805354,0.9921875,2.671875
0,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,71331,71385,4,73,0.005174592137336731,0.008674837823613779,0.9921875,2.375
1,2.0,2,vector,key_only_block_so8_triality_vector,72220,72274,4,73,0.004738077521324158,0.00835583651984817,0.99609375,752.0
1,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,72477,72531,4,73,0.005020482465624809,0.004767824092989592,0.99609375,744.0
1,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,72734,72788,4,73,0.0044132620096206665,0.00530572688955977,0.99609375,756.0
1,2.5,2.5,vector,key_only_block_so8_triality_vector,72270,72324,4,73,0.004738077521324158,0.00835583651984817,0.99609375,528.0
1,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,72527,72581,4,73,0.005020482465624809,0.004767824092989592,0.99609375,510.0
1,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,72784,72838,4,73,0.0044132620096206665,0.00530572688955977,0.99609375,544.0
1,3.0,3,vector,key_only_block_so8_triality_vector,72320,72374,4,73,0.004537522792816162,0.004370471871967707,0.99609375,290.0
1,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,72577,72631,4,73,0.005175328813493252,0.004862186568443061,0.99609375,316.0
1,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,72834,72888,4,73,0.0048007965087890625,0.00824355946175026,1.0,298.0
1,3.5,3.5,vector,key_only_block_so8_triality_vector,72370,72424,4,73,0.004537522792816162,0.004370471871967707,0.99609375,176.0
1,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,72627,72681,4,73,0.005175328813493252,0.004862186568443061,0.99609375,208.0
1,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,72884,72938,4,73,0.0048007965087890625,0.00824355946175026,0.99609375,204.0
1,4.0,4,vector,key_only_block_so8_triality_vector,72420,72474,4,73,0.004604339599609375,0.005372347713319625,0.99609375,119.0
1,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,72677,72731,4,73,0.004588471492752433,0.004634975028621202,0.99609375,118.5
1,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,72934,72988,4,73,0.004614938981831074,0.005640888392150045,1.0,109.0
1,8.0,8,vector,key_only_block_so8_triality_vector,72820,72874,4,73,0.004233896732330322,0.0059720744735533016,0.99609375,3.796875
1,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,73077,73131,4,73,0.004057645797729492,0.006074141944583333,0.99609375,3.71875
1,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,73334,73388,4,73,0.004533752799034119,0.005520194239454046,0.99609375,3.59375
2,2.0,2,vector,key_only_block_so8_triality_vector,74223,74277,4,73,0.0038979053497314453,0.005872122887934372,1.0,1012.0
2,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,74480,74534,4,73,0.003951072692871094,0.004364595856142683,0.99609375,1048.0
2,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,74737,74791,4,73,0.004799810936674476,0.005529364446226093,1.0,924.0
2,2.5,2.5,vector,key_only_block_so8_triality_vector,74273,74327,4,73,0.0038979053497314453,0.005872122887934372,1.0,628.0
2,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,74530,74584,4,73,0.003951072692871094,0.004364595856142683,1.0,616.0
2,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,74787,74841,4,73,0.004799810936674476,0.005529364446226093,0.99609375,596.0
2,3.0,3,vector,key_only_block_so8_triality_vector,74323,74377,4,73,0.004555463790893555,0.0038779282935668125,1.0,366.0
2,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,74580,74634,4,73,0.004667792469263077,0.005015545010552236,1.0,346.0
2,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,74837,74891,4,73,0.004284773021936417,0.0048682702369921005,1.0,404.0
2,3.5,3.5,vector,key_only_block_so8_triality_vector,74373,74427,4,73,0.004555463790893555,0.0038779282935668125,1.0078125,209.0
2,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,74630,74684,4,73,0.004667792469263077,0.005015545010552236,1.0,233.0
2,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,74887,74941,4,73,0.004284773021936417,0.0048682702369921005,1.0,223.0
2,4.0,4,vector,key_only_block_so8_triality_vector,74423,74477,4,73,0.004603412002325058,0.006109436754972775,1.0,134.0
2,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,74680,74734,4,73,0.004314899444580078,0.006246860594186776,1.0,130.0
2,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,74937,74991,4,73,0.004139546304941177,0.005305663361873436,0.99609375,145.0
2,8.0,8,vector,key_only_block_so8_triality_vector,74823,74877,4,73,0.004355669021606445,0.007111187741580038,1.0,3.984375
2,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,75080,75134,4,73,0.004887580871582031,0.004544432502104456,1.0,4.21875
2,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,75337,75391,4,73,0.004378169775009155,0.005868631090994447,1.0078125,4.28125
3,2.0,2,vector,key_only_block_so8_triality_vector,76226,76280,4,73,0.00518566370010376,0.00563771536447466,0.99609375,828.0
3,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,76483,76537,4,73,0.004538297653198242,0.004668317783760978,1.0,1136.0
3,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,76740,76794,4,73,0.004337787628173828,0.0054384380550951406,0.99609375,736.0
3,2.5,2.5,vector,key_only_block_so8_triality_vector,76276,76330,4,73,0.00518566370010376,0.00563771536447466,1.0,584.0
3,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,76533,76587,4,73,0.004538297653198242,0.004668317783760978,1.0,580.0
3,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,76790,76844,4,73,0.004337787628173828,0.0054384380550951406,1.0,568.0
3,3.0,3,vector,key_only_block_so8_triality_vector,76326,76380,4,73,0.003871917724609375,0.007627688779800357,1.0078125,308.0
3,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,76583,76637,4,73,0.004117310047149658,0.007729191343462061,1.0,320.0
3,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,76840,76894,4,73,0.004345432869740762,0.006650665086912921,1.0078125,392.0
3,3.5,3.5,vector,key_only_block_so8_triality_vector,76376,76430,4,73,0.003871917724609375,0.007627688779800357,1.0,206.0
3,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,76633,76687,4,73,0.004117310047149658,0.007729191343462061,1.0078125,216.0
3,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,76890,76944,4,73,0.004345432869740762,0.006650665086912921,1.0,219.0
3,4.0,4,vector,key_only_block_so8_triality_vector,76426,76480,4,73,0.004698991775512695,0.0047104112084501715,1.0078125,147.0
3,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,76683,76737,4,73,0.005097866058349609,0.005188752594590618,1.0,127.0
3,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,76940,76994,4,73,0.004461750388145447,0.005040565474080161,1.0078125,156.0
3,8.0,8,vector,key_only_block_so8_triality_vector,76826,76880,4,73,0.00626921933144331,0.006502252768008643,1.0078125,4.3125
3,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,77083,77137,4,73,0.004311113618314266,0.0056782047147503345,1.0078125,4.5625
3,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,77340,77394,4,73,0.004654407501220703,0.00473684836678856,1.0078125,4.1875
4,2.0,2,vector,key_only_block_so8_triality_vector,78229,78283,4,73,0.005057096481323242,0.0061258099475922645,1.0,920.0
4,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,78486,78540,4,73,0.0048253536224365234,0.003916703009197775,0.99609375,1256.0
4,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,78743,78797,4,73,0.005152702331542969,0.005370155694179868,0.99609375,980.0
4,2.5,2.5,vector,key_only_block_so8_triality_vector,78279,78333,4,73,0.005057096481323242,0.0061258099475922645,0.99609375,804.0
4,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,78536,78590,4,73,0.0048253536224365234,0.003916703009197775,0.99609375,552.0
4,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,78793,78847,4,73,0.005152702331542969,0.005370155694179868,0.9921875,612.0
4,3.0,3,vector,key_only_block_so8_triality_vector,78329,78383,4,73,0.004609167575836182,0.004906312737300356,1.0,372.0
4,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,78586,78640,4,73,0.004244089126586914,0.005526937112614094,1.0,314.0
4,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,78843,78897,4,73,0.004852294921875,0.006174306149948183,0.99609375,414.0
4,3.5,3.5,vector,key_only_block_so8_triality_vector,78379,78433,4,73,0.004609167575836182,0.004906312737300356,1.0,250.0
4,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,78636,78690,4,73,0.004244089126586914,0.005526937112614094,1.0,240.0
4,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,78893,78947,4,73,0.004852294921875,0.006174306149948183,1.0,231.0
4,4.0,4,vector,key_only_block_so8_triality_vector,78429,78483,4,73,0.0046921223402023315,0.004615687519131106,1.0,141.0
4,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,78686,78740,4,73,0.004580727778375149,0.005912572963698404,1.0,131.0
4,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,78943,78997,4,73,0.004636064171791077,0.0063621946862575385,1.0,120.0
4,8.0,8,vector,key_only_block_so8_triality_vector,78829,78883,4,73,0.0059108734130859375,0.006515647991844231,1.0,4.96875
4,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,79086,79140,4,73,0.004355177283287048,0.005580843030975613,1.0,5.03125
4,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,79343,79397,4,73,0.004801571369171143,0.00732701430287408,1.0,5.25
5,2.0,2,vector,key_only_block_so8_triality_vector,80232,80286,4,73,0.004709254950284958,0.00696562293434333,0.99609375,896.0
5,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,80489,80543,4,73,0.004926919937133789,0.005755936837803288,0.99609375,700.0
5,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,80746,80800,4,73,0.004401028156280518,0.006029906469802393,1.0,724.0
5,2.5,2.5,vector,key_only_block_so8_triality_vector,80282,80336,4,73,0.004709254950284958,0.00696562293434333,0.9921875,608.0
5,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,80539,80593,4,73,0.004926919937133789,0.005755936837803288,0.99609375,656.0
5,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,80796,80850,4,73,0.004401028156280518,0.006029906469802393,1.0,520.0
5,3.0,3,vector,key_only_block_so8_triality_vector,80332,80386,4,73,0.004575714468955994,0.005840125956024789,1.0,332.0
5,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,80589,80643,4,73,0.0043013691902160645,0.005363408069661513,1.0,290.0
5,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,80846,80900,4,73,0.004482626914978027,0.006417697415990187,1.0,270.0
5,3.5,3.5,vector,key_only_block_so8_triality_vector,80382,80436,4,73,0.004575714468955994,0.005840125956024789,1.0,219.0
5,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,80639,80693,4,73,0.0043013691902160645,0.005363408069661513,0.99609375,227.0
5,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,80896,80950,4,73,0.004482626914978027,0.006417697415990187,1.0,203.0
5,4.0,4,vector,key_only_block_so8_triality_vector,80432,80486,4,73,0.004564080387353897,0.005255999273608647,1.0,103.5
5,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,80689,80743,4,73,0.004922017455101013,0.005613738894502451,1.0,88.5
5,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,80946,81000,4,73,0.005087852478027344,0.005224124553696363,1.0,96.0
5,8.0,8,vector,key_only_block_so8_triality_vector,80832,80886,4,73,0.004755795001983643,0.006644075024663132,1.0,4.21875
5,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,81089,81143,4,73,0.0053687551990151405,0.00525226030536019,1.0,4.8125
5,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,81346,81400,4,73,0.0049284761771559715,0.005138658722913081,1.0,4.75
6,2.0,2,vector,key_only_block_so8_triality_vector,82235,82289,4,73,0.005159914493560791,0.006817961137641215,0.9921875,624.0
6,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,82492,82546,4,73,0.004643361084163189,0.007223162603730904,1.0,728.0
6,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,82749,82803,4,73,0.004241466522216797,0.005644586534632068,1.0,776.0
6,2.5,2.5,vector,key_only_block_so8_triality_vector,82285,82339,4,73,0.005159914493560791,0.006817961137641215,0.99609375,486.0
6,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,82542,82596,4,73,0.004643361084163189,0.007223162603730904,0.9921875,552.0
6,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,82799,82853,4,73,0.004241466522216797,0.005644586534632068,1.0,458.0
6,3.0,3,vector,key_only_block_so8_triality_vector,82335,82389,4,73,0.004642774350941181,0.006430833140238512,1.0,282.0
6,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,82592,82646,4,73,0.00504659116268158,0.005793500878237934,0.9921875,256.0
6,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,82849,82903,4,73,0.0049111247062683105,0.007026283871766181,0.9921875,380.0
6,3.5,3.5,vector,key_only_block_so8_triality_vector,82385,82439,4,73,0.004642774350941181,0.006430833140238512,1.0,212.0
6,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,82642,82696,4,73,0.00504659116268158,0.005793500878237934,1.0,172.0
6,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,82899,82953,4,73,0.0049111247062683105,0.007026283871766181,1.0,188.0
6,4.0,4,vector,key_only_block_so8_triality_vector,82435,82489,4,73,0.004754289984703064,0.004949592545492321,1.0,83.5
6,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,82692,82746,4,73,0.005206108093261719,0.0072162482976751985,1.0,114.0
6,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,82949,83003,4,73,0.004796504974365234,0.006188661097074721,0.9921875,108.5
6,8.0,8,vector,key_only_block_so8_triality_vector,82835,82889,4,73,0.004304137080907822,0.006141999089658623,0.9921875,3.859375
6,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,83092,83146,4,73,0.004842698574066162,0.0072663033928932474,0.9921875,3.9375
6,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,83349,83403,4,73,0.004877030849456787,0.008137943833373074,0.9921875,3.921875
7,2.0,2,vector,key_only_block_so8_triality_vector,84238,84292,4,73,0.00495770201086998,0.00613750914227329,1.0,704.0
7,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,84495,84549,4,73,0.005254607647657394,0.007017992725332545,0.99609375,640.0
7,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,84752,84806,4,73,0.0043002404272556305,0.008534800413911192,0.99609375,732.0
7,2.5,2.5,vector,key_only_block_so8_triality_vector,84288,84342,4,73,0.00495770201086998,0.00613750914227329,0.9921875,374.0
7,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,84545,84599,4,73,0.005254607647657394,0.007017992725332545,1.0,448.0
7,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,84802,84856,4,73,0.0043002404272556305,0.008534800413911192,0.9921875,408.0
7,3.0,3,vector,key_only_block_so8_triality_vector,84338,84392,4,73,0.004804134368896484,0.00517350296114516,0.99609375,214.0
7,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,84595,84649,4,73,0.004595950245857239,0.003623768561965557,0.9921875,262.0
7,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,84852,84906,4,73,0.004320681095123291,0.0047836160572668485,0.99609375,217.0
7,3.5,3.5,vector,key_only_block_so8_triality_vector,84388,84442,4,73,0.004804134368896484,0.00517350296114516,0.99609375,147.0
7,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,84645,84699,4,73,0.004595950245857239,0.003623768561965557,0.99609375,142.0
7,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,84902,84956,4,73,0.004320681095123291,0.0047836160572668485,0.99609375,155.0
7,4.0,4,vector,key_only_block_so8_triality_vector,84438,84492,4,73,0.004167616367340088,0.004027764716148408,0.99609375,64.5
7,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,84695,84749,4,73,0.004779338836669922,0.0058035341990236855,0.99609375,58.75
7,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,84952,85006,4,73,0.005436792969703674,0.006674536930723174,0.99609375,69.0
7,8.0,8,vector,key_only_block_so8_triality_vector,84838,84892,4,73,0.004791736602783203,0.005445049527838863,1.0,3.875
7,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,85095,85149,4,73,0.004652500152587891,0.006274514289850597,0.99609375,3.234375
7,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,85352,85406,4,73,0.004875123500823975,0.005918013789280807,0.99609375,3.875
